case,spin,inclination_deg,resolution,elapsed_s,gpu_elapsed_s,gpu_backend,cpu_gpu_speedup,hit_fraction,intensity_max
spin,0.0,60.0,96,0.0042725000021164306,,,,0.9548611111111112,0.00686211371794343
spin,0.3,60.0,96,0.00399660000402946,,,,0.9565972222222222,0.013245089910924435
spin,0.5,60.0,96,0.003890500003763009,,,,0.9577907986111112,0.01856408268213272
spin,0.7,60.0,96,0.003709800002980046,,,,0.958984375,0.023111848160624504
spin,0.9,60.0,96,0.004327900001953822,,,,0.9605034722222222,0.029534557834267616
spin,0.998,60.0,96,0.0035370999976294115,,,,0.9607204861111112,0.047642871737480164
inclination,0.7,10,128,0.006871099998534191,,,,0.95892333984375,0.004885744769126177
inclination,0.7,30,128,0.00675470000714995,,,,0.95953369140625,0.009258399717509747
inclination,0.7,60,128,0.007662199997866992,,,,0.9595947265625,0.02314099110662937
inclination,0.7,80,128,0.007862799997383263,,,,0.9593505859375,0.03373264893889427
resolution,0.7,60.0,256,0.0365213000040967,0.0225129000027664,cuda,1.622238805289809,0.9593353271484375,0.023985689505934715
resolution,0.7,60.0,512,0.1659503999981098,0.09480719999555731,cuda,1.7503987039579934,0.9584388732910156,0.024780550971627235
resolution,0.7,60.0,1024,0.7085932999980287,0.3879787999976543,cuda,1.8263711831737013,0.9587326049804688,0.02470461092889309
resolution,0.7,60.0,1920,3.339321400002518,1.543947300000582,cuda,2.1628467500161825,0.9586553276909722,0.024790946394205093
